dis_along_flowline,widths_m,area_m2,consensus_ice_thickness,millan_ice_thickness,millan_v,hugonnet_dhdt
15100.0,1714.6233696749332,342924.67393498664,241.62143777056954,543.3944150118319,69.98873536155457,-3.7205573598301838
15300.0,1285.3555395206774,257071.10790413548,241.73007266962537,535.7911453767992,76.56659228197509,-3.906354819521408
15500.0,1111.8352615097128,222367.05230194257,223.9852819971759,476.02033653456,78.47782654644621,-3.9544950911080012
15700.0,1079.2351902531586,215847.03805063173,197.41615831041938,395.44907827500475,78.2020465138807,-3.9140776336775667
15900.0,1005.0083874366447,201001.67748732894,181.09140419931924,380.9136674695425,81.46983422845577,-3.804026293877678
16100.0,861.8367184855441,172367.34369710882,179.8865801550102,369.04602527802655,73.84464498055524,-4.190235237906033
16300.0,937.7130393336056,187542.6078667211,168.209901599972,325.8875882390787,62.306759495061975,-4.442251701196305
16500.0,1007.3205923305771,201464.11846611544,161.2200318398217,297.92609922040396,53.22431095825497,-4.749536656975687
16700.0,1004.8953902424001,200979.07804848003,158.96076752334815,288.93927548047503,46.77201563828179,-5.059491357915869
16900.0,1001.8340024573997,200366.80049147995,148.84927491430238,262.98755654712,36.85196141424641,-5.1144105438801795
17100.0,1199.85019899064,239970.03979812798,138.04969596724416,205.4162064830837,21.606478892220316,-5.191827338170604
17300.0,1061.5224686964918,212304.49373929837,136.46347766374595,151.38343129794603,15.264570841787092,-5.126683904685561
17500.0,840.8039552891757,168160.79105783516,120.54698904150456,121.33067196051714,21.020222661059886,-4.269124246459232
17700.0,764.8673780312482,152973.47560624965,102.04326496825176,94.5603173207438,16.154781842756943,-4.480142639071477
17900.0,379.8424179131233,75968.48358262466,80.44764441112038,42.09873105120194,3.4895905797657676,-4.5829169138817365
18100.0,290.47826533077955,58095.65306615591,45.080315919001016,25.886060344738443,2.118360855132152,-1.8959678336814954
